name,salary,site,years,school,tags,updateTime,companyName,jobDemand,companyInfo,address,url
python开发工程师,15-20K,北京,3-5年,本科,"['安全行业', '监控系统', '云计算', '数据采集系统', 'python']",更新于：2020-11-06,卓朗科技,"['岗位职责：', '1、负责公司产品的功能开发、体验优化工作，以及同其他相关部门协同相关对接工作；', '2、配合完成编制项目实施计划，协调资源并按计划推进项目实施工作，按时按质交付；', '3、能够按照规范化流程进行项目实施，能够做好项目代码质量的管控；', '4、乐于分享，积极参加技术讨论交流会，活跃团队内技术氛围。', '任职要求：', '1、公立统招本科及以上学历学信网可查，至少4年以上python开发经验优先；', '2、熟练掌握Python开发语言；', '3、技术能力强，责任心强，具有一定的工作进度管理与把控能力；', '4、熟悉Flask、Django、Restful及常用数据库MySQL、PostgreSQL、MongoDB、Redis等；', '5、熟悉主流Windows/Linux攻防技巧者优先；', '6、责任心强，具有良好的沟通能力；', '7、熟悉信息安全产品，有信息安全行业工作经验者优先。']","卓朗科技创立于2009年，是国内领先的企业级信息技术服务提供商，我们致力于改善人和机器的工作，驱动制造业高质量发展，构建数字智能城市，满足人民幸福生活，推动数字经济发展。
我们面向智能城市和智能制造等领域为企业、政府和各类组织提供安全可信、稳定可靠、智能开放和有竞争力的产品、服务与解决方案，",北京市朝阳区中远幸福大厦A座1608,/job_detail/6e8e7a843694db1433R539m-FFM~.html
python开发经理,24-35K,上海,5-10年,本科,"['Python', 'MySQL', 'Redis', 'NoSQL', 'MongoDB', 'PostgreSQL', '项目管理']",更新于：2020-11-07,犀语科技,"['岗位职责：', '1.系统需求分析与设计，核心模块的开发工作；', '2.根据开发进度和任务分配，完成相应模块的开发、编程、测试任务，解决关键问题和寻找技术方案', '职位要求:', '1.本科以上学历，四年以上编程经验;有过项目管理或者人员管理经理', '2.精通python语言,有扎实的编码能力，深入理解任一python框架；', '3.熟练使用至少一种数据库（MySQL/PostgreSQL/Redis/MongoDB)', '4.熟悉python扩展模块；', '5.有独立分析和解决问题的能力，有良好的团队合作精神']","全球金融科技创业公司大赛十强
百度AI加速器技术平台的战略合作企业
KPMG中国Fintech业务实施战略合作伙伴
上海犀语科技有限公司是一家致力于提升金融工作效率，防范金融风险、辅助金融决策的新一代金融科技服务公司。犀语科技采用国际领先的中文自然语言处理（NLP）技术和大数据分析及智能算法技术，",上海市杨浦区五角场创新创业学院4楼,/job_detail/1a6a5bea5139404e0XV73Ni-F1E~.html
python开发,12-20K,北京,3-5年,本科,"['Python', 'Python工程师', 'MySQL', 'Redis', 'GIT', '大数据', '机器学习', 'Flask']",更新于：2020-11-07,软通动力有限公司,"['1、全日制统招本科，计算机相关专业', '2、python多线程，多进程，flask框架', '3、熟悉Linux指令，git管理', '4、熟悉mySQL，redis，elasticsearch，http，websocket，webhook', '5、有大数据和机器学习工作经验的优先考虑', '6、全日制统招公立二本以上，双证齐全，学信网可查']","软通动力是中国领先的全方位IT服务及行业解决方案提供商，立足中国，服务大中华区和全球市场。业务范围涵盖咨询及解决方案、IT服务及业务流程外包（BPO）服务等，是高科技、通信、银行/企业金融/保险、能源/交通/公用事业等行业重要的IT综合服务提供商和战略合伴。
●2001年，软通动力公司在北京创",北京市海淀区软通动力大厦北京市海淀区西北旺东路10号院东区16号楼软通动力大厦,/job_detail/4149a2b650a93ac233R42NS4E1s~.html
python开发实习生,150-250元/天,上海,3天/周,本科,"['Python', 'SQL']",更新于：2020-11-04,勋爵,"['【岗位描述】', '0、在家工作', '1、负责网站后端产品相关需求的实现和bugfix', '2、后端PythonFlaskAPI,参与核心架构、组件的设计、研发与优化', '【任职要求】', '1、熟悉pythonFlask后端RESTAPI', '2、熟悉pythonwebscraping', '3、熟悉数据库基本操作,了解SQL基本写法', '4、AWS云计算服务', '5、对软件开发有热情,对问题有敏锐的嗅觉,能快速学习新知识', '6、具备良好的团队合作精神、英语沟通能力,高度的责任感与工作激情', 'BusySquirrels是一个由美国MIT和哥伦比亚大学校友创办、致力于北美购物省钱省时间的平台网', '站,https://busysquirrels.com。现面向国内各大高校招收远程实习生,实习优秀者可提供全职工', '作。实习期三到六个月,每周工作最少3天,150-250元每天(底薪加奖金)。实习导师超牛,会', '有国内外一流大学毕业的软件工程师们跟你一起并肩作战,并且每个人都愿意分享他们的技术和', '经验,你会收获前沿的技术培训和开发理念。有意向者请发简历至*****或加', '微信**********咨询。']",[],上海市黄浦区中外运大厦(福建中路)在家,/job_detail/d76f9d366e61fe2b3nF43t-7FVE~.html
python开发工程师,15-25K,北京,3-5年,本科,"['Python', 'Mysql', '数据库']",更新于：2020-10-09,鲨鱼记账,"['岗位职责：', '1、参与相关业务、产品和服务的后端开发和维护；', '2、根据产品需求和技术演进，制定技术方案，项目计划，并制定相应方案执行；', '3、负责产品后端设计、实现、改进和优化，确保后端服务稳定、可靠、高效。', '任职要求：', '1、本科及以上学历；', '2、2年以上Python开发经验，具有实际项目开发经验，承担过核心开发任务；', '3、jinjasqlalchemy熟练使用；', '4、Mysql熟练使用并且有大数量处理经验；', '5、熟练使用Redis、Memcached缓存的使用及处理；', '6、有优秀的解决问题的能力，有很强的学习能力。']","公司简介
鲨鱼快游公司于2017年在北京成立，主要产品是鲨鱼记账软件。鲨鱼记账核心团队来自百度，华为等公司，均为各领域的资深专家。鲨鱼记账是一款贴心的记账软件，一切功能都以方便用户使用为出发点。致力于帮用户养成良好的记账理财习惯，早日实现财务自由。
作为一个初创公司，仅用1年时间，鲨鱼记",北京海淀区康健宝盛广场D座8020,/job_detail/eba8b30b139ddcc81HZ40t69EFc~.html
Python开发,25-50K,北京,经验不限,学历不限,"['Flask', 'Python', 'C/C++']",更新于：2020-10-09,韬睿智能,"['岗位职责：', '岗位职责：', '1.参与公司产品后端的需求分析分解，设计及开发;', '2.服务端的基础架构优化及升级，不断提升代码质量、可扩展性和可维护性；', '任职要求：', '1.熟悉在Unix/Linux平台上的Python服务端编程；有软件项目开发、迭代和实施经验;了解并使用过一种Pythonweb开发框架（Django、Flask等）；', '2.具备数据系统的规划设计及调优能力，熟悉常见关系数据库和非关系数据库；', '3.有良好的编码习惯，能做到结构清晰，命名规范；', '4.熟悉Linux操作系统，能够进行日常服务的测试部署；', '5.有良好的产品意识，能够根据业务持续输出产品优化思路；']","Taurus.ai（韬睿智能）是专注打造量化交易系统及算法，为投资者提供智能、高效、低成本及低延迟的交易执行方案的专业金融科技服务公司。
多年一线实战的精英团队
团队成员均来自于国内外名校及知名金融机构，拥有国内外金融市场丰富的量化策略实现、交易执行、风险控制、复杂IT系统",北京市西城区康华伟业孵化器A305,/job_detail/23016d55d0e97b481n1-0965ElM~.html
高级Python开发,15-25K,上海,3-5年,本科,"['Python', 'Docker', 'Openstack']",更新于：2020-10-09,博冀信息,"['职位职责：', '1.\t参与平台项目的设计与开发工作，包括需求分析、系统设计、编码和单元测试等工作；', '2.\t负责分析业务领域比较复杂的问题，根据业务需求选择技术解决方案；', '3.\t能够独立完成业务设计和相关技术实现，分析并解决开发过程中的问题；', '4.\t对系统及平台进行完善维护，包括功能改进、系统优化及技术支持等；', '5.\t编写符合规范的功能结构定义、需求说明、开发设计等技术文档；', '6.\t能够独立完成详细设计及编码、进行代码审查。', '任职要求：', '1.\t熟练操作Linux，能进行脚本编程和系统维护；', '2.\t精通Python语言，两年及以上Python开发经验，能解决实际开发中遇到的问题；', '3.\t精通Django、Tornado、Flask等主流开发框架(之一)；', '4.\t掌握MySql、MongoDB、Redis等数据库的使用，同时熟悉NoSQL类型数据库者优先；', '5.\t熟悉SOA架构，具备HTTP，TCP等网络服务端开发经验；', '6.\t熟悉Nginx、Apache、Tomcat、HAproxy等；', '7.\t熟悉Docker容器技术和OpenStack架构者优先；', '8.\t有良好的编程习惯，包括好的设计文档，单元测试，代码审查，适应敏捷开发模式；', '9.\t有成为全栈的潜力和强大的自我学习能力。希望成为进可攻前，退可守线的全栈大牛；', '10.\t思路清晰，具备服务意识和良好的沟通能力、理解能力和团队合作能力。']",[],上海市长宁区安垦镇宁路465弄181号1幢5楼5B,/job_detail/aa201081524a7ca61nJy3dy7FVY~.html
python开发工程师,15-30K·14薪,北京,1-3年,大专,"['Python', '容器技术', '多线程', 'MySQL', '虚拟机技术', 'MongoDB', 'linux', '网络安全']",更新于：2020-10-09,元支点,"['岗位职责：', '1、产品研发及研发任务完成', '2、其他研发负责人安排的任务', '技能要求：', '1.精通Python开发，并具有3年以上Python开发经验；', '2.熟练使用Python常用框架Django、Tornado、Flask，熟悉RestfulAPI；', '3.熟悉unix/linux环境开发，熟悉使用常用的shell命令。', '4.需熟悉各类Linux操作系统，具备独立数据库设计并且调优的能力；', '5.熟悉常用的数据库和缓存组件，包括但不限于Mysql、Redis、Mongo等；', '6.熟悉kvm和Docker容器技术，了解kvm和Docker技术框架，熟练使用kvm和Docker命令。', '7.具备网络安全产品研发经验。']",缔造新的信息安全生态圈，做新的安全,北京市东城区强佑大厦,/job_detail/ed61d0042a7792be331-2di6EVA~.html
